ID,Title,Category,Word Count,Thin Flag,Template Flag,Oversaturated Topic Flag,Quotes Found Count,Needs Verification,Fake Author,Cluster Count,Cluster IDs
art-mqics6or-qoek0,Messi vs Ronaldo: Comparing Their Final FIFA World Cup Performances and Lasting Legacy,Sport,533,FALSE,FALSE,TRUE,0,FALSE,TRUE,0,
art-mqiygoym-oi05l,The Rise of Southeast Asian Athletes in Global Competitions,Sport,203,TRUE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqiylu4f-gt4b0,Indonesia Navigates Political and Economic Challenges as Government Focuses on Stability,Economy,440,TRUE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqiyzh4x-9g5pb,Global Oil and Gas Market Faces New Uncertainty as APAC Economies Prepare for Rising Energy Costs,APAC,680,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqj1t53k-970ax,APAC Financial Markets on Alert as Global Interest Rate Outlook Reshapes Investment Strategy,Finance,655,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqj3lq3n-setni,"England Sends a World Cup Statement: More Than Harry Kane's Goals, a New Era of Attacking Football Begins",Sport,576,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqj7onmk-75e15,"The ""AI Shockwave"": How Artificial Intelligence is Erasing Entry-Level Tech Jobs in Southeast Asia (and What Pays $150k Now)",Economy,378,TRUE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqjq97wh-xjejm,Why Trump's Iran Deal Could Be the Biggest Economic Turning Point of 2026 for Asia,APAC,573,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqks7w01-uz0ol,Indonesia Expands Free Meal Probe as Governance Faces New Test,Economy,746,FALSE,FALSE,FALSE,2,TRUE,TRUE,0,
art-mqkvdi8m-e93ar,Cambodia's Political Stability Faces Fresh Test as Court Ruling Draws Regional Attention,APAC,594,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mql3wg97-d72az,Ai Ogura Sends Strong Statement at Brno as Asia's MotoGP Momentum Grows,Sport,678,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mql44ucp-c8szz,Opinion: July 2026 Could Become the Defining Month for Global Markets,Opinion,840,FALSE,FALSE,FALSE,2,TRUE,TRUE,0,
art-mqlwdf47-cqt15,AirAsia Bets Big on Growth Despite Global Headwinds: What Travelers and Investors Should Know,APAC,762,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqlwtfcb-kwc96,Lakers Still Rule Asia: Why the NBA Giant Remains APAC's Most Influential Team,Sport,745,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqlxvt7q-8h3sj,Australia's World Cup Defeat Reveals the New Standard of Global Football,Sport,725,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqmdlwi3-m92r2,Explained: Why Australia's First H5N1 Bird Flu Case Matters for APAC,Explainer,849,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqmgzv0r-p9vu0,Opinion: Asia Doesn't Need More Loans—It Needs Better Debt Negotiation,Opinion,817,FALSE,FALSE,FALSE,3,TRUE,TRUE,0,
art-mqnvofjm-r6x0w,Why Australia's First H5N1 Case Could Become Asia's Next Food Security Challenge,APAC,709,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqnvxyp1-3m876,Extreme Heat Is Becoming Football's Biggest Opponent at the 2026 World Cup,Sport,644,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqnw0wtg-ctfdt,"Oil Prices Are Falling, But Asia's Economy Is Not Out of Danger Yet",Economy,722,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqnxhs9r-auanh,Asia's $431 Billion Opportunity: Why Climate Investment Could Be More Profitable Than Debt Relief,Economy,733,FALSE,FALSE,FALSE,3,TRUE,TRUE,0,
art-mqnzjj7y-11yff,Why Fans Blamed BLACKPINK for South Korea's World Cup Loss ,Sport,670,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqon6arp-scth3,Southeast Asia's Data Center Boom Is Creating a New Economic Race,APAC,808,FALSE,FALSE,FALSE,2,TRUE,TRUE,0,
art-mqonb7zg-8y3y3,Why Global Investors Are Looking at ASEAN Instead of China,Economy,770,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqoo3jxa-q98nb,Can Indonesia Become ASEAN's Electric Vehicle Leader? The Race Is Getting More Competitive,APAC,750,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqopkiep-urlzv,The Return of Inflation: Why Asia's Central Banks Are Staying Cautious,Economy,753,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqp2qr8n-tat3n,Why Asian Athletes Are Becoming Global Sports Brands Worth Billions,Sport,737,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqq4q9se-azolf,Cristiano Ronaldo's Last World Cup Mission May Define His Entire Legacy,Sport,751,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqq4ym33-o9cnk,Why Everyone Is Suddenly Talking About the Strait of Hormuz,APAC,767,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqq51a5g-e8oan,The Iran War Isn't Over: Why Asia's Economy Is Still at Risk,Economy,789,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqq5pe0f-tw9pa,Drowning in Debt? Thousands Across Asia Recovered—Here's How They Did It,Opinion,814,FALSE,FALSE,FALSE,2,TRUE,TRUE,0,
