ID,Title,Category,Date,Word Count,Thin Flag,Template Header Flag,Unverifiable Expert Flag,Unsourced Statistic Flag,Flags Triggered,Experts Found,Stats Count,Unsourced Stats Count
art-mr38awha-z015q,The Debt Trap Exit: A Strategic Blueprint to Escape Elevated Personal Loans in a High-Interest Era,APAC,2026-07-02T08:14:37.294Z,1129,FALSE,TRUE,TRUE,TRUE,3,Andrew Carr (HasInst: false),2,2
art-mr5oy74k-1bda4,The Commodity Compute Race: How China’s Cheap AI Tokens Are Reshaping Asian Business Architecture,APAC,2026-07-04T01:36:10.388Z,973,FALSE,TRUE,TRUE,TRUE,3,Marcus Liang (HasInst: false) | Terry Zhang (HasInst: false),6,6
art-mr96lizx-9kigs,The 'Indonesia Incorporated' Doctrine: How Jakarta’s Resource Nationalism is Rewriting the APAC Supply Chain,Economy,2026-07-06T12:13:30.862Z,992,FALSE,TRUE,TRUE,TRUE,3,Indonesia Incorporated (HasInst: false) | President Prabowo Subianto (HasInst: false) | World Bank (HasInst: true) | Indonesia Incorporated (HasInst: false) | South Korea (HasInst: false) | Indonesia Incorporated (HasInst: false),6,6
art-mqmdlwi3-m92r2,Explained: Why Australia's First H5N1 Bird Flu Case Matters for APAC,Explainer,2026-06-20T13:11:03.628Z,849,FALSE,FALSE,TRUE,TRUE,2,Prime Minister Anthony Albanese (HasInst: false),1,1
art-mqonb7zg-8y3y3,Why Global Investors Are Looking at ASEAN Instead of China,Economy,2026-06-22T03:18:13.804Z,770,FALSE,FALSE,TRUE,TRUE,2,China Plus One (HasInst: false) | While China (HasInst: false) | China Plus One (HasInst: false),1,1
art-mr37e9sq-3w8z9,The Fall of Miles Guo: How a $1 Billion Diaspora Fraud Exploited Geopolitical Anxiety,Economy,2026-07-02T07:49:14.907Z,854,FALSE,FALSE,TRUE,TRUE,2,Himalaya Exchange (HasInst: false),7,7
art-mr3a6fg2-1gvdo,The Double-Standard Deficit: Why Folarin Balogun’s World Cup Red Card Exposes VAR’s Elite Bias,Sport,2026-07-02T09:07:07.827Z,1113,FALSE,TRUE,TRUE,FALSE,2,United States (HasInst: true) | Mauricio Pochettino (HasInst: false) | Mark Clattenburg (HasInst: false) | World Cup (HasInst: false) | The Messi Paradox (HasInst: false),0,0
art-mr5uwbv1-1xoo2,The Asymmetric Pitch: How Cabo Verde Exposed the Structural Flaws of Football’s Elite Gilded Class,Sport,2026-07-04T04:22:40.909Z,1041,FALSE,FALSE,TRUE,TRUE,2,Lionel Scaloni (HasInst: true) | Cristian Romero (HasInst: true) | Blue Sharks (HasInst: true) | World Cup (HasInst: false) | Lionel Scaloni (HasInst: false) | Cabo Verde (HasInst: true) | Cabo Verde (HasInst: true) | Cabo Verde (HasInst: true),1,1
art-mr8v4k7m-i2ewc,Algorithmic Overemployment: How Localized AI Agents Are Upending the Remote Work Contract,APAC,2026-07-06T06:52:23.506Z,787,FALSE,FALSE,TRUE,TRUE,2,Victoria Vance (HasInst: false) | Liam Thorne (HasInst: false),1,1
art-mrbvgk8a-5qk03,Metaphysical Solace: How China’s Youth Are Swapping High Luxury for ‘Xuanxue’ Mysticism,APAC,2026-07-08T09:25:01.930Z,728,FALSE,FALSE,TRUE,TRUE,2,Linda Yu (HasInst: false) | Red Ant Asia (HasInst: false),1,1
art-mrd0x2kh-sdwcm,The Death of the Dot-Com: How Consumer Brands Are Abandoning Sprawling Websites for Single-Interface Conversational Hubs,Finance,2026-07-09T04:45:36.449Z,1051,FALSE,FALSE,TRUE,TRUE,2,Interface Hub (HasInst: false) | Marcus Thorne (HasInst: false) | Clara Vance (HasInst: false),1,1
art-mriouuvb-6tk3y,The Plastic Dopamine Loop: How the 168-Billion-Yuan 'Guzi' Economy is Saving Asian Shopping Malls,Explainer,2026-07-13T03:54:34.823Z,1072,FALSE,FALSE,TRUE,TRUE,2,Liu Yaqiong (HasInst: false),1,1
art-mqiylu4f-gt4b0,Indonesia Navigates Political and Economic Challenges as Government Focuses on Stability,Economy,2026-06-18T03:47:47.775Z,440,TRUE,FALSE,FALSE,FALSE,1,,0,0
art-mqj7onmk-75e15,The Restructuring of Southeast Asian Tech: How Generative AI is Dismantling the Entry-Level Code Economy,Economy,2026-06-18T08:01:55.868Z,664,FALSE,FALSE,FALSE,TRUE,1,,2,2
art-mql44ucp-c8szz,Opinion: July 2026 Could Become the Defining Month for Global Markets,Opinion,2026-06-19T15:58:04.970Z,840,FALSE,FALSE,TRUE,FALSE,1,International Monetary Fund (HasInst: false) | Middle East (HasInst: false) | Managing Director Kristalina Georgieva (HasInst: false),0,0
art-mqlwdf47-cqt15,AirAsia Bets Big on Growth Despite Global Headwinds: What Travelers and Investors Should Know,APAC,2026-06-20T05:08:34.375Z,762,FALSE,FALSE,FALSE,TRUE,1,,2,2
art-mqlwtfcb-kwc96,Lakers Still Rule Asia: Why the NBA Giant Remains APAC's Most Influential Team,Sport,2026-06-20T05:21:01.163Z,745,FALSE,FALSE,FALSE,TRUE,1,,1,1
