ID,Title,Category,Date,Word Count,Thin Flag,Template Flag,Generic Topic Flag,Unverifiable Expert Flag,Unverifiable Experts,Stat Count,Unsourced Stat Count,Unsourced Statistic Flag,Fake Author Flag,Has Pending Draft,Cluster Count,Cluster IDs,Recommendation
art-mqics6or-qoek0,Messi vs Ronaldo: Comparing Their Final FIFA World Cup Performances and Lasting Legacy,Sport,2026-06-17T17:36:52.444Z,533,false,false,true,false,,0,0,false,true,false,0,,rewrite
art-mqiygoym-oi05l,Beyond the SEA Games: How Southeast Asia is Re-Engineering Elite Sports for the Global Stage,Sport,2026-06-18T03:43:47.806Z,552,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqiylu4f-gt4b0,Indonesia Navigates Political and Economic Challenges as Government Focuses on Stability,Economy,2026-06-18T03:47:47.775Z,440,true,false,false,false,,0,0,false,true,false,0,,rewrite
art-mqiyzh4x-9g5pb,Global Oil and Gas Market Faces New Uncertainty as APAC Economies Prepare for Rising Energy Costs,APAC,2026-06-18T03:58:24.129Z,680,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqj1t53k-970ax,APAC Financial Markets on Alert as Global Interest Rate Outlook Reshapes Investment Strategy,Finance,2026-06-18T05:17:27.440Z,655,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqj3lq3n-setni,"England Sends a World Cup Statement: More Than Harry Kane's Goals, a New Era of Attacking Football Begins",Sport,2026-06-18T06:07:40.643Z,576,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqj7onmk-75e15,The Restructuring of Southeast Asian Tech: How Generative AI is Dismantling the Entry-Level Code Economy,Economy,2026-06-18T08:01:55.868Z,664,false,false,false,false,,2,2,true,true,false,0,,verify_sources_before_keep
art-mqjq97wh-xjejm,Why Trump's Iran Deal Could Be the Biggest Economic Turning Point of 2026 for Asia,APAC,2026-06-18T16:41:48.353Z,573,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqks7w01-uz0ol,Indonesia Expands Free Meal Probe as Governance Faces New Test,Economy,2026-06-19T10:24:31.681Z,746,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqkvdi8m-e93ar,Cambodia's Political Stability Faces Fresh Test as Court Ruling Draws Regional Attention,APAC,2026-06-19T11:52:52.630Z,594,false,false,false,false,,0,0,false,true,false,0,,keep
art-mql3wg97-d72az,Ai Ogura Sends Strong Statement at Brno as Asia's MotoGP Momentum Grows,Sport,2026-06-19T15:51:33.451Z,678,false,false,false,false,,0,0,false,true,false,0,,keep
art-mql44ucp-c8szz,Opinion: July 2026 Could Become the Defining Month for Global Markets,Opinion,2026-06-19T15:58:04.970Z,840,false,false,false,false,,3,1,true,true,false,0,,verify_sources_before_keep
art-mqlwdf47-cqt15,AirAsia Bets Big on Growth Despite Global Headwinds: What Travelers and Investors Should Know,APAC,2026-06-20T05:08:34.375Z,762,false,false,false,false,,4,3,true,true,false,0,,verify_sources_before_keep
art-mqlwtfcb-kwc96,Lakers Still Rule Asia: Why the NBA Giant Remains APAC's Most Influential Team,Sport,2026-06-20T05:21:01.163Z,745,false,false,false,false,,1,1,true,true,false,0,,verify_sources_before_keep
art-mqlxvt7q-8h3sj,Australia's World Cup Defeat Reveals the New Standard of Global Football,Sport,2026-06-20T05:50:52.070Z,725,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqmdlwi3-m92r2,The Last Frontier Falls: Australia Records First Mainland Case of H5N1 Bird Flu,Explainer,2026-06-20T13:11:03.628Z,591,false,false,false,false,,2,2,true,true,false,0,,verify_sources_before_keep
art-mqmgzv0r-p9vu0,Opinion: Asia Doesn't Need More Loans—It Needs Better Debt Negotiation,Opinion,2026-06-20T14:45:53.739Z,817,false,false,false,false,,4,4,true,true,false,0,,verify_sources_before_keep
art-mqnvofjm-r6x0w,Why Australia's First H5N1 Case Could Become Asia's Next Food Security Challenge,APAC,2026-06-21T14:24:40.882Z,709,false,false,false,false,,1,1,true,true,false,0,,verify_sources_before_keep
art-mqnvxyp1-3m876,Extreme Heat Is Becoming Football's Biggest Opponent at the 2026 World Cup,Sport,2026-06-21T14:32:05.605Z,644,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqnw0wtg-ctfdt,"Oil Prices Are Falling, But Asia's Economy Is Not Out of Danger Yet",Economy,2026-06-21T14:34:23.140Z,722,false,false,false,false,,5,4,true,true,false,0,,verify_sources_before_keep
art-mqnxhs9r-auanh,Asia's $431 Billion Opportunity: Why Climate Investment Could Be More Profitable Than Debt Relief,Economy,2026-06-21T15:15:30.015Z,733,false,false,false,false,,5,4,true,true,false,0,,verify_sources_before_keep
art-mqnzjj7y-11yff,Why Fans Blamed BLACKPINK for South Korea's World Cup Loss ,Sport,2026-06-21T16:12:50.831Z,670,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqon6arp-scth3,Southeast Asia's Data Center Boom Is Creating a New Economic Race,APAC,2026-06-22T03:14:24.133Z,808,false,false,false,false,,3,2,true,true,false,0,,verify_sources_before_keep
art-mqonb7zg-8y3y3,The Great Supply Chain Migration: How Southeast Asia Is Reshaping Global Industry,Economy,2026-06-22T03:18:13.804Z,573,false,false,false,false,,1,0,false,true,false,0,,keep
art-mqoo3jxa-q98nb,Can Indonesia Become ASEAN's Electric Vehicle Leader? The Race Is Getting More Competitive,APAC,2026-06-22T03:40:15.646Z,750,false,false,false,false,,1,1,true,true,false,0,,verify_sources_before_keep
art-mqopkiep-urlzv,The Return of Inflation: Why Asia's Central Banks Are Staying Cautious,Economy,2026-06-22T04:21:26.449Z,753,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqp2qr8n-tat3n,Why Asian Athletes Are Becoming Global Sports Brands Worth Billions,Sport,2026-06-22T10:30:12.840Z,737,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqq4q9se-azolf,Cristiano Ronaldo's Last World Cup Mission May Define His Entire Legacy,Sport,2026-06-23T04:13:35.630Z,751,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqq4ym33-o9cnk,Why Everyone Is Suddenly Talking About the Strait of Hormuz,APAC,2026-06-23T04:20:04.815Z,767,false,false,false,false,,1,0,false,true,false,0,,keep
art-mqq51a5g-e8oan,The Iran War Isn't Over: Why Asia's Economy Is Still at Risk,Economy,2026-06-23T04:22:09.316Z,789,false,false,false,false,,2,2,true,true,false,0,,verify_sources_before_keep
art-mqq5pe0f-tw9pa,Drowning in Debt? Thousands Across Asia Recovered—Here's How They Did It,Opinion,2026-06-23T04:40:54.063Z,814,false,false,false,false,,2,0,false,true,false,0,,keep
art-mqqd3jbi-6xwxz,Why Indonesian Homeowners May Face Higher Mortgage Costs After BI's Rate Hikes,Finance,2026-06-23T08:07:51.438Z,797,false,false,false,false,,8,2,true,true,false,0,,verify_sources_before_keep
art-mqqi4js1-vc5f9,Vietnam's AI Law Gives It a Head Start in Southeast Asia's Tech Race,Economy,2026-06-23T10:28:36.769Z,973,false,false,false,false,,1,1,true,true,false,0,,verify_sources_before_keep
art-mqrks79c-jt92i,Can Politics Decide a World Cup? Iran's Travel Drama Sparks Debate,Sport,2026-06-24T04:30:45.696Z,840,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqrmic45-ceu4a,Buried in Debt? The 90-Day Strategy That Helped Borrowers Recover,Finance,2026-06-24T05:19:04.662Z,889,false,false,false,false,,2,2,true,true,false,0,,verify_sources_before_keep
art-mqs5dzpq-05iha,The AI Boom Is Creating a New Data Center Race Across Asia,APAC,2026-06-24T14:07:34.670Z,696,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqs5jpme-5of7g,The AI Gold Rush Is Creating Asia's Next Energy Crisis,APAC,2026-06-24T14:12:01.527Z,646,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqtael0b-lvgdv,The AI Boom Has Created a New King of Chips—And It's Not Just Nvidia,Explainer,2026-06-25T09:15:46.523Z,731,false,false,false,false,,2,1,true,true,false,0,,verify_sources_before_keep
art-mqtb71a5-o30yp,Why Retail Investors Keep Buying at the Worst Possible Time,Finance,2026-06-25T09:37:53.981Z,726,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqurhtdr-mgy07,Why India Could Become Asia's Biggest AI Infrastructure Hub,APAC,2026-06-26T10:01:56.991Z,739,false,false,false,false,,4,4,true,true,false,0,,verify_sources_before_keep
art-mqus2nwu-7wnvm,"The Next AI War Isn't About Chips, It's About Cooling",APAC,2026-06-26T10:18:09.678Z,646,false,false,false,false,,0,0,false,true,false,0,,keep
art-mquttbk1-e65bi,The $15 Billion World Cup: How FIFA Turned Football Into One of the World's Biggest Businesses,Sport,2026-06-26T11:06:52.994Z,579,false,false,false,false,,1,0,false,true,false,0,,keep
art-mqv14gcr-cdhwh,Disaster in Venezuela: Why a Fragile Global Oil Market Cannot Ignore the Latin American Quakes,Opinion,2026-06-26T14:31:29.739Z,745,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqv3pzv7-5fl3n,Jakarta at 499: Can Indonesia's Capital Still Compete as Southeast Asia's Business Hub?,APAC,2026-06-26T15:44:14.035Z,721,false,false,false,false,,1,0,false,true,false,0,,keep
art-mqw2nw4o-tnibx,World Cup 2026 Power Rankings: The 7 Teams Most Likely to Lift the Trophy,Sport,2026-06-27T08:02:22.440Z,661,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqw2v62n-rbqja,APAC Investment Outlook 2026: The 7 Best Countries for Long-Term Growth,Finance,2026-06-27T08:08:01.919Z,572,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqwiiiw1-ixylv,The Cost of Love: Why Housing Is Quietly Reshaping Relationships Across Asia,Explainer,2026-06-27T15:26:05.857Z,653,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqxft16w-4i03e,Will Cash Become Obsolete? China's New Payment Push Could Change Travel Forever,Economy,2026-06-28T06:58:03.466Z,633,false,false,false,false,,0,0,false,true,false,0,,keep
art-mqxyqbmq-k21kr,The Hidden Billionaires Behind the AI Revolution: Why Infrastructure Is the Real Gold Rush,Economy,2026-06-28T15:47:49.730Z,812,false,false,false,false,,0,0,false,true,false,0,,keep
